place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884730
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884731
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884732
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884733
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884734
"ottawa, ontario ",on,45.3403,-75.7704,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884735
"ottawa, ontario ",on,45.3403,-75.7704,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884736
"ottawa, ontario ",on,45.3624,-75.6371,unauthorized use of parks,$880.00 ,yes,880,1,10,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884737
"ottawa, ontario ",on,45.3183,-75.9216,unauthorized use of parks,$880.00 ,yes,880,1,4,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884738
"ottawa, ontario ",on,45.3183,-75.9216,unauthorized use of parks,$880.00 ,yes,880,1,4,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884739
"ottawa, ontario ",on,45.4688,-75.4542,unauthorized use of parks,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884740
"ottawa, ontario ",on,45.4786,-75.4599,unauthorized use of parks,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884741
"ottawa, ontario ",on,45.2951,-75.902,unauthorized use of parks,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884742
"ottawa, ontario ",on,45.2951,-75.902,unauthorized use of parks,"$1,130.00 ",yes,1130,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884743
"ottawa, ontario ",on,45.2951,-75.902,unauthorized use of parks,$880.00 ,yes,880,1,23,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884744
"ottawa, ontario ",on,45.4333316,-75.5666644,gathering of 5 or more ,$880.00 ,yes,880,1,2,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884745
"ottawa, ontario ",on,45.4552,-75.6002,unauthorized use of parks,$880.00 ,yes,880,1,11,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884746
